Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,W3OI 94,146.940000,-,0.600000,TSQL,71.9,71.9,023,NN,FM,5.00,S,,,,,
2,W3OI135,147.135000,+,0.600000,DTCS,88.5,88.5,315,NN,FM,5.00,S,,,,,
3,W3OK 70,146.700000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,S,,,,,
4,W3OK511,145.110000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,S,,,,,
5,RDG 18,147.180000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,S,,,,,
6,CARBARC,147.255000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,S,,,,,
7,WA3VHL,147.225000,+,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,S,,,,,
11,N3LWY,146.655000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,S,,,,,
12,N3MFT,448.775000,-,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,S,,,,,
13,KA3NRJ,444.100000,+,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,S,,,,,
14,N3XG,443.350000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
15,N3HES,443.500000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,S,,,,,
16,KA3ZAT,449.875000,-,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,S,,,,,
17,W3BXW,447.725000,-,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,S,,,,,
18,W3OK,444.900000,+,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,S,,,,,
19,W3EPE,449.375000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
40,SPXCALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,SPX 535,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
42,SPX 550,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
43,SPX 565,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
44,SPX 580,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
45,SPX 505,146.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
46,SPX 490,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
47,SPX 475,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
75,ATWN WX,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
100,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
101,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
102,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
103,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
104,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
105,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
106,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
107,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
108,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
109,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
110,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
111,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
112,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
113,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
114,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
115,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
116,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
117,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
118,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
119,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
120,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
121,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
122,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
123,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
124,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
125,BLUE DO,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
126,GREEN D,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
